ra,dec,apflux_r_0.5arcsec,apflux_r_0.75arcsec,apflux_r_1.0arcsec,apflux_r_1.5arcsec,apflux_r_2.0arcsec,apflux_r_3.5arcsec,apflux_r_5.0arcsec
63.94788783064556,3.211651443153824,6.4096,12.598,19.0177,29.1067,34.9217,40.9479,43.049
63.94819880877651,-1.658986853,18.6019,30.5519,38.3204,44.8432,46.8864,48.5791,49.6819
63.949542355778746,-50.18749647385536,23.443,40.4858,53.8279,68.7038,74.2231,78.9267,95.8459
63.94960492024694,7.646927517341179,35.8312,62.6938,83.5707,104.7112,112.0645,117.2012,118.9461
63.95272668619922,8.673676972968009,8.3519,18.2473,30.4461,52.7643,65.5488,76.4833,78.7044
63.95292247305718,8.673531745064155,18.5603,34.023,47.2296,62.7737,69.6287,76.5878,78.8886
63.95363742158458,-31.16671155765041,56.1,96.9877,126.9617,156.1562,167.6215,177.9542,180.4685
63.95386372235659,0.7578786049215018,19.4555,36.2646,52.6958,77.1827,88.0003,96.1658,98.241
63.954584946495366,-21.2581472,30.3081,49.3484,61.4547,71.7767,75.2815,78.2174,79.3617
63.95672097528192,2.0672086581843936,15.2889,28.9998,41.736,59.4402,68.6512,78.0678,81.0493
63.95696141710305,-13.69489263,12.9045,23.1475,31.8034,42.4277,47.0448,51.2194,52.6863
63.95791906288932,-37.67381171,61.3496,110.2264,148.4827,186.7897,200.9741,212.6161,215.3293
63.95807926245075,-1.604351084,17.3918,28.2519,35.1467,40.7092,42.5084,44.2443,45.2622
63.96018005024248,-1.090362613,12.0249,21.8892,30.1657,38.7125,41.3546,43.1733,44.2362
63.96126256483833,-44.77695040330279,54.4541,91.0533,116.4588,141.5408,152.7416,162.0432,164.303
63.96260479903949,-6.531765458,18.5066,33.1573,45.4354,60.6136,66.97,71.5905,73.0514
63.9626525473689,-9.263072854,10.3676,17.9496,23.9981,30.4442,32.4207,34.1874,35.7751
63.962926601571,2.527171744826803,7.1483,13.1267,18.5105,25.5814,29.0905,32.3672,34.059
63.96384670276137,-42.13735721706549,23.4906,43.1568,59.7972,78.3942,85.6161,91.5045,93.2492
63.96513831564084,8.714979255333558,13.9158,27.1449,40.7629,61.7857,72.6116,81.2095,83.5261
63.9653385157272,8.714955594694944,15.7962,30.6054,45.0936,64.7797,73.9627,81.3545,83.4703
63.96749489745853,-77.18797906714485,34.6832,60.6628,80.7456,101.4739,109.2762,115.6814,117.4976
63.968485958062686,-1.943611213,40.5605,68.0768,86.3642,101.5773,106.1905,109.64,111.1608
63.96882505614624,-30.32923279,7.8761,13.7038,18.0833,22.5531,24.3066,25.6966,26.3675
63.96884459226789,3.749267103367969,10.0652,19.4411,28.69,41.9808,48.8822,55.8775,58.9512
63.97034410955436,-36.37176496,23.493,39.071,50.0936,60.6578,64.6038,67.9028,69.3543
63.97469994521191,-13.6570975,19.0172,35.2356,50.3852,73.0006,84.4624,92.7141,94.7396
63.97569519550619,-16.019327406709895,49.0786,86.3381,115.1918,144.5661,155.9283,166.3973,169.0977
63.97757007935349,-4.778855034243017,37.251,65.2823,87.4512,111.1449,119.3054,125.2023,127.5055
63.978596298996166,-18.8211511,11.0108,19.07,25.3853,32.362,35.023,37.1501,37.8365
63.97913736620645,2.441768828077283,15.8532,30.4837,44.6392,63.9673,73.1924,81.9709,84.9149
63.97950386718605,8.179371530480422,17.5674,33.6203,49.1006,70.752,81.2627,90.2808,92.512
63.98702894284133,-55.5101392,25.8905,42.2362,52.7055,61.5575,64.5525,67.7485,69.5038
63.987107014622346,-40.45665433447271,8.2366,13.7893,17.4905,20.6645,21.7097,22.6277,23.3043
63.98838434600111,-31.84897755485026,10.3241,17.5638,23.7151,32.819,37.0609,40.0496,41.0561
